ShipmentID,ShipmentDate,PlannedArrivalDate,ActualArrivalDate,PlannedDuration,ActualDuration,DeliveryVariance,OnTimeDeliveryFlag,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,ShipmentSize,ValueCategory,Season,Month,Year,CustomerKey,OriginLocationKey,DestinationLocationKey,FreightTypeKey
7683,2019-08-26 00:00:00.000,2019-09-05,,10.0,,,0,1292.0,0.0,2,0.0,Small,Low,Summer,8,2019,120,2503,6619,1
3681,2019-05-29 00:00:00.000,2019-05-31,,2.0,,,0,1132.0,5.62,3,0.0,Small,Low,Spring,5,2019,124,7128,3061,1
1534,2019-05-30 00:00:00.000,2019-06-01,,2.0,,,0,12000.0,0.0,1,0.0,Small,Low,Spring,5,2019,126,999,5038,1
1624,2019-07-11 00:00:00.000,2019-07-11,,0.0,,,0,7000.0,0.0,1,0.0,Small,Low,Summer,7,2019,126,999,5038,1
2431,2019-09-26 00:00:00.000,2019-09-28,,2.0,,,0,5000.0,0.0,1,0.0,Small,Low,Fall,9,2019,126,999,5038,1
2871,2019-12-05 00:00:00.000,2019-12-07,,2.0,,,0,5000.0,0.0,1,0.0,Small,Low,Winter,12,2019,126,999,5038,1
2955,2019-12-10 00:00:00.000,2019-12-12,,2.0,,,0,6500.0,0.0,1,0.0,Small,Low,Winter,12,2019,126,999,5038,2
11036,2020-01-07 00:00:00.000,2020-01-09,,2.0,,,0,8000.0,0.0,1,0.0,Small,Low,Winter,1,2020,126,6602,5038,2
28338,2022-02-02 00:00:00.000,2022-02-04,,2.0,,,0,5750.0,0.0,1,0.0,Small,Low,Winter,2,2022,126,5038,5147,1
36693,2022-07-22 00:00:00.000,2022-07-24,,2.0,,,0,8900.0,0.0,1,0.0,Small,Low,Summer,7,2022,126,5038,5088,1
22300,2020-12-24 00:00:00.000,2020-12-26,,2.0,,,0,8120.0,0.0,1,0.0,Small,Low,Winter,12,2020,126,6602,5038,1
28337,2022-01-26 00:00:00.000,2022-01-28,,2.0,,,0,1885.0,0.0,1,0.0,Small,Low,Winter,1,2022,126,5038,5147,1
12421,2020-07-09 00:00:00.000,2020-07-11,,2.0,,,0,8120.0,0.0,1,0.0,Small,Low,Summer,7,2020,126,6602,5038,1
17753,2020-09-15 00:00:00.000,2020-09-17,,2.0,,,0,28400.0,0.0,1,0.0,Small,Low,Fall,9,2020,126,5038,6602,1
17851,2020-09-22 00:00:00.000,2020-09-24,,2.0,,,0,8391.0,0.0,2,0.0,Small,Low,Fall,9,2020,126,5038,6602,2
277,2020-10-08 00:00:00.000,2020-10-10,,2.0,,,0,8120.0,0.0,1,0.0,Small,Low,Fall,10,2020,126,6602,5038,1
19427,2020-12-17 00:00:00.000,2020-12-19,,2.0,,,0,16200.0,0.0,10,0.0,Small,Low,Winter,12,2020,126,5038,6602,1
22213,2021-01-05 00:00:00.000,2021-01-07,,2.0,,,0,8150.0,0.0,1,0.0,Small,Low,Winter,1,2021,126,5088,5038,1
11481,2020-02-11 00:00:00.000,2020-02-11,,0.0,,,0,8000.0,0.0,1,0.0,Small,Low,Winter,2,2020,126,6602,5038,2
11436,2020-03-05 00:00:00.000,2020-03-07,,2.0,,,0,5000.0,0.0,1,0.0,Small,Low,Spring,3,2020,126,999,5038,1
11707,2020-03-12 00:00:00.000,2020-03-14,,2.0,,,0,7000.0,0.0,1,0.0,Small,Low,Spring,3,2020,126,999,5038,1
11009,2020-05-12 00:00:00.000,2020-05-12,,0.0,,,0,7000.0,0.0,1,0.0,Small,Low,Spring,5,2020,126,999,5038,1
12252,2020-06-18 00:00:00.000,2020-06-18,,0.0,,,0,7000.0,0.0,1,0.0,Small,Low,Summer,6,2020,126,999,5038,1
12420,2020-07-09 00:00:00.000,2020-07-11,,2.0,,,0,8120.0,0.0,1,0.0,Small,Low,Summer,7,2020,126,6602,5038,1
53206,2023-03-09 00:00:00.000,2023-03-09,,0.0,,,0,42.0,0.0,1,0.0,Small,Low,Spring,3,2023,142,5199,7446,1
50710,2023-05-21 00:00:00.000,2023-05-23,,2.0,,,0,700.0,0.0,7,0.0,Small,Low,Spring,5,2023,142,336,7446,1
50337,2023-03-04 00:00:00.000,2023-03-13,,9.0,,,0,124.8,0.0,5,0.0,Small,Low,Spring,3,2023,142,4229,3266,1
47328,2023-04-01 00:00:00.000,2023-04-02,,1.0,,,0,204.0,1.26,1,0.0,Small,Low,Spring,4,2023,142,336,6602,1
47329,2023-04-01 00:00:00.000,2023-04-02,,1.0,,,0,262.0,1.47,2,0.0,Small,Low,Spring,4,2023,142,336,6602,1
47696,2023-04-02 00:00:00.000,2023-04-03,,1.0,,,0,1380.0,0.0,15,0.0,Small,Low,Spring,4,2023,142,336,5088,1
