ShipmentID,ShipmentDate,PlannedArrivalDate,ActualDepartureDate,ActualArrivalDate,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,IsDelivered,DurationDays,DateKey,CustomerKey,EquipmentKey,FreightTypeKey,OriginLocationKey,DestinationLocationKey
14507,2020-10-10,2020-10-12,,,34.5,0.538,1,,0,,20201010,1997.0,1.0,1.0,2796.0,8101.0
14507,2020-10-10,2020-10-12,,,34.5,0.538,1,,0,,20201010,2604.0,1.0,1.0,2796.0,8101.0
14546,2020-10-17,2020-10-20,,,61.2,0.986,1,,0,,20201017,1997.0,1.0,1.0,2796.0,8101.0
14546,2020-10-17,2020-10-20,,,61.2,0.986,1,,0,,20201017,2604.0,1.0,1.0,2796.0,8101.0
14547,2020-10-18,2020-10-20,,,36.0,0.446,1,,0,,20201018,1997.0,1.0,1.0,2796.0,8101.0
14547,2020-10-18,2020-10-20,,,36.0,0.446,1,,0,,20201018,2604.0,1.0,1.0,2796.0,8101.0
14558,2020-10-23,2020-10-24,,,89.5,1.174,2,,0,,20201023,1997.0,1.0,1.0,2796.0,8101.0
14558,2020-10-23,2020-10-24,,,89.5,1.174,2,,0,,20201023,2604.0,1.0,1.0,2796.0,8101.0
14580,2020-10-27,2020-10-28,,,112.5,1.54,2,,0,,20201027,1997.0,1.0,1.0,2796.0,8101.0
14580,2020-10-27,2020-10-28,,,112.5,1.54,2,,0,,20201027,2604.0,1.0,1.0,2796.0,8101.0
14435,2020-09-22,2020-09-23,,,46.5,0.696,2,,0,,20200922,1997.0,1.0,1.0,2796.0,8101.0
14435,2020-09-22,2020-09-23,,,46.5,0.696,2,,0,,20200922,2604.0,1.0,1.0,2796.0,8101.0
14449,2020-09-24,2020-09-25,,,29.0,0.446,1,,0,,20200924,1997.0,1.0,1.0,2796.0,8101.0
14449,2020-09-24,2020-09-25,,,29.0,0.446,1,,0,,20200924,2604.0,1.0,1.0,2796.0,8101.0
14458,2020-09-29,2020-09-30,,,50.0,0.651,1,,0,,20200929,1997.0,1.0,1.0,2796.0,8101.0
14458,2020-09-29,2020-09-30,,,50.0,0.651,1,,0,,20200929,2604.0,1.0,1.0,2796.0,8101.0
14460,2020-09-29,2020-09-30,,,13.5,0.154,1,,0,,20200929,1997.0,1.0,1.0,2796.0,8101.0
14460,2020-09-29,2020-09-30,,,13.5,0.154,1,,0,,20200929,2604.0,1.0,1.0,2796.0,8101.0
14461,2020-09-29,2020-09-30,,,13.0,0.154,1,,0,,20200929,1997.0,1.0,1.0,2796.0,8101.0
14461,2020-09-29,2020-09-30,,,13.0,0.154,1,,0,,20200929,2604.0,1.0,1.0,2796.0,8101.0
14474,2020-10-03,2020-10-04,,,42.0,0.634,1,,0,,20201003,1997.0,1.0,1.0,2796.0,8101.0
14474,2020-10-03,2020-10-04,,,42.0,0.634,1,,0,,20201003,2604.0,1.0,1.0,2796.0,8101.0
13981,2020-04-15,2020-04-20,,,33.0,0.032,1,,0,,20200415,17.0,1.0,1.0,701.0,999.0
13981,2020-04-15,2020-04-20,,,33.0,0.032,1,,0,,20200415,2630.0,1.0,1.0,701.0,999.0
3311,2019-04-07,2019-04-08,,,48.4,0.271,8,,0,,20190407,2340.0,1.0,1.0,1331.0,8101.0
3311,2019-04-07,2019-04-08,,,48.4,0.271,8,,0,,20190407,2634.0,1.0,1.0,1331.0,8101.0
4423,2019-12-17,2019-12-18,,,31.3,0.238,11,,0,,20191217,2340.0,1.0,1.0,1331.0,8101.0
4423,2019-12-17,2019-12-18,,,31.3,0.238,11,,0,,20191217,2634.0,1.0,1.0,1331.0,8101.0
13953,2020-03-25,2020-03-27,,,15.6,0.098,4,,0,,20200325,2340.0,1.0,1.0,1331.0,8101.0
13953,2020-03-25,2020-03-27,,,15.6,0.098,4,,0,,20200325,2634.0,1.0,1.0,1331.0,8101.0
13932,2020-10-03,2020-10-05,,,92.9,0.555,21,,0,,20201003,2340.0,1.0,1.0,1331.0,8101.0
13932,2020-10-03,2020-10-05,,,92.9,0.555,21,,0,,20201003,2634.0,1.0,1.0,1331.0,8101.0
14780,2020-12-02,2020-12-04,,,17.6,0.16,10,,0,,20201202,2340.0,1.0,1.0,1331.0,8101.0
14780,2020-12-02,2020-12-04,,,17.6,0.16,10,,0,,20201202,2634.0,1.0,1.0,1331.0,8101.0
31681,2022-04-12,2022-04-14,,,136.0,1.113,30,0.0,0,,20220412,2340.0,1.0,1.0,1331.0,1502.0
31681,2022-04-12,2022-04-14,,,136.0,1.113,30,0.0,0,,20220412,2634.0,1.0,1.0,1331.0,1502.0
36195,2022-07-08,2022-07-11,,,71.0,0.41,1,0.0,0,,20220708,2340.0,1.0,1.0,3191.0,1121.0
36195,2022-07-08,2022-07-11,,,71.0,0.41,1,0.0,0,,20220708,2634.0,1.0,1.0,3191.0,1121.0
37639,2022-07-25,2022-07-25,,,176.5,0.0,36,0.0,0,,20220725,2340.0,1.0,1.0,1331.0,8101.0
37639,2022-07-25,2022-07-25,,,176.5,0.0,36,0.0,0,,20220725,2634.0,1.0,1.0,1331.0,8101.0
38359,2022-09-10,2022-09-11,,,69.3,0.551,13,0.0,0,,20220910,2340.0,1.0,1.0,1331.0,8101.0
38359,2022-09-10,2022-09-11,,,69.3,0.551,13,0.0,0,,20220910,2634.0,1.0,1.0,1331.0,8101.0
42694,2022-12-03,2022-12-03,,,52.7,0.292,7,0.0,0,,20221203,2340.0,1.0,1.0,1331.0,8101.0
42694,2022-12-03,2022-12-03,,,52.7,0.292,7,0.0,0,,20221203,2634.0,1.0,1.0,1331.0,8101.0
45101,2023-02-07,2023-02-08,,,56.0,0.48,1,0.0,0,,20230207,2340.0,1.0,1.0,7128.0,8101.0
