ShipmentDate,Shipments,6M_Forecast,InvoiceDate,NetAmount,Correlation
2022-02-23,34,12.738888888888889,2022-02-23,171361.451,0.013646986353854362
2022-02-24,16,12.816666666666666,2022-02-24,188154.785,0.013646986353854362
2022-02-25,19,12.916666666666666,2022-02-25,103278.298,0.013646986353854362
2022-02-26,76,13.322222222222223,2022-02-26,7880.396,0.013646986353854362
2022-02-27,2,13.21111111111111,2022-02-27,142407.41,0.013646986353854362
2022-02-28,7,13.244444444444444,2022-02-28,1173074.509,0.013646986353854362
2022-03-01,16,13.327777777777778,2022-03-01,712753.318,0.013646986353854362
2022-03-02,41,13.55,2022-03-02,488438.111,0.013646986353854362
2022-03-03,12,13.61111111111111,2022-03-03,24557.992,0.013646986353854362
2022-03-04,45,13.85,2022-03-04,325047.925,0.013646986353854362
2022-03-05,116,14.488888888888889,2022-03-05,8163.589999999999,0.013646986353854362
2022-03-06,2,14.494444444444444,2022-03-06,824.0,0.013646986353854362
2022-03-07,14,14.53888888888889,2022-03-07,227416.697,0.013646986353854362
2022-03-08,5,14.483333333333333,2022-03-08,309841.564,0.013646986353854362
2022-03-09,23,14.522222222222222,2022-03-09,101271.333,0.013646986353854362
2022-03-10,22,14.633333333333333,2022-03-10,298861.058,0.013646986353854362
2022-03-11,53,14.916666666666666,2022-03-11,344593.524,0.013646986353854362
2022-03-12,33,15.094444444444445,2022-03-12,7945.069,0.013646986353854362
2022-03-13,1,15.094444444444445,2022-03-13,493.659,0.013646986353854362
2022-03-14,49,15.36111111111111,2022-03-14,333536.394,0.013646986353854362
2022-03-15,12,15.4,2022-03-15,175728.62099999998,0.013646986353854362
2022-03-16,34,15.577777777777778,2022-03-16,114634.728,0.013646986353854362
2022-03-17,19,15.661111111111111,2022-03-17,559395.034,0.013646986353854362
2022-03-18,35,15.844444444444445,2022-03-18,331643.995,0.013646986353854362
2022-03-19,97,16.377777777777776,2022-03-19,11855.841,0.013646986353854362
2022-03-20,16,16.461111111111112,2022-03-20,1329.366,0.013646986353854362
2022-03-21,9,16.505555555555556,2022-03-21,268684.727,0.013646986353854362
2022-03-22,3,16.516666666666666,2022-03-22,59067.969,0.013646986353854362
2022-03-23,42,16.733333333333334,2022-03-23,1003742.977,0.013646986353854362
2022-03-24,6,16.755555555555556,2022-03-24,184397.536,0.013646986353854362
2022-03-25,29,16.9,2022-03-25,95329.741,0.013646986353854362
2022-03-26,98,17.42222222222222,2022-03-26,687728.2019999999,0.013646986353854362
2022-03-27,8,17.461111111111112,2022-03-27,1110.484,0.013646986353854362
2022-03-28,15,17.538888888888888,2022-03-28,377420.376,0.013646986353854362
2022-03-29,6,17.566666666666666,2022-03-29,387334.401,0.013646986353854362
2022-03-30,21,17.677777777777777,2022-03-30,98370.041,0.013646986353854362
2022-03-31,30,17.833333333333332,2022-03-31,75179.842,0.013646986353854362
2022-04-01,41,18.038888888888888,2022-04-01,440361.75899999996,0.013646986353854362
2022-04-02,52,18.322222222222223,2022-04-02,6508.8,0.013646986353854362
2022-04-03,1,18.322222222222223,2022-04-03,101222.036,0.013646986353854362
2022-04-04,38,18.522222222222222,2022-04-04,617754.748,0.013646986353854362
2022-04-05,9,18.555555555555557,2022-04-05,273257.289,0.013646986353854362
2022-04-06,34,18.7,2022-04-06,30576.963,0.013646986353854362
2022-04-07,14,18.772222222222222,2022-04-07,108764.759,0.013646986353854362
2022-04-08,19,18.783333333333335,2022-04-08,90101.91500000001,0.013646986353854362
2022-04-09,103,19.344444444444445,2022-04-09,345.0,0.013646986353854362
2022-04-10,2,19.32777777777778,2022-04-10,12055.785,0.013646986353854362
2022-04-11,8,19.366666666666667,2022-04-11,36667.428,0.013646986353854362
2022-04-12,6,19.377777777777776,2022-04-12,278000.73,0.013646986353854362
2022-04-13,40,19.594444444444445,2022-04-13,138457.022,0.013646986353854362
2022-04-14,6,19.622222222222224,2022-04-14,121036.447,0.013646986353854362
2022-04-15,44,19.86111111111111,2022-04-15,379091.876,0.013646986353854362
2022-04-16,55,20.15,2022-04-16,111612.39600000001,0.013646986353854362
