CustomerKey,TotalInvoices,TotalRevenue,AvgInvoiceValue
1846,5,759.1999999999999,151.83999999999997
1850,56,27447.858,490.14032142857144
1854,6,4864.5,810.75
1856,188,55716.89,296.36643617021275
1858,9,1474.548,163.83866666666665
1860,3,115884.75,38628.25
1865,26,9790.088,376.54184615384617
1866,3,1248.0,416.0
1867,8,2218.0,277.25
1868,9,7671.1,852.3444444444444
1870,5,1602.1,320.41999999999996
1871,7,8678.16,1239.7371428571428
1872,13,7925.0,609.6153846153846
1874,3,1.7999999999999998,0.6
1877,4,1081.0,270.25
1878,7,2451.2,350.1714285714285
1879,13,6885.0,529.6153846153846
1881,6,1815.0,302.5
1882,119,133749.4,1123.944537815126
1884,1,30110.0,30110.0
1887,6,9068.244,1511.374
1888,3,2298.0,766.0
1893,8,5243.25,655.40625
1894,7,2667.0,381.0
1895,30,2712.0,90.4
1896,1,399.0,399.0
1897,3,9915.0,3305.0
1898,13,14660.0,1127.6923076923076
1903,6,2175.0,362.5
1904,6,945.0,157.5
1906,61,41315.35,677.3008196721311
1907,108,27063.1,250.58425925925926
1908,22,15370.75,698.6704545454545
1909,58,89884.94,1549.7403448275863
1910,6,3162.9,527.15
1911,37,44454.92,1201.4843243243242
1914,351,271799.5,774.3575498575499
1915,30,14550.3,485.01
1916,3,1200.0,400.0
1917,29,8047.0,277.48275862068965
1919,62,130632.35,2106.9733870967743
1920,20,10075.0,503.75
1938,11,23482.861,2134.8055454545456
1941,26,68194.58,2622.868461538462
1947,1,5270.6,5270.6
1950,1,697.162,697.162
1952,1,893.1,893.1
1953,3,35.7,11.9
1955,11,4605.57,418.6881818181818
1961,4,0.0,0.0
1966,41,1444.8290000000002,35.23973170731708
1971,2,622.1,311.05
1976,22,166278.05,7558.093181818182
1978,3,751.9,250.63333333333333
1981,1,1484.93,1484.93
1983,17,82707.734,4865.160823529412
1984,7,15101.599999999999,2157.371428571428
1985,3,273.0,91.0
1986,92,297812.048,3237.08747826087
1991,1,579.34,579.34
1992,15,41083.962,2738.9308
1998,110,52835.062,480.3187454545454
2000,4,94.61,23.6525
2011,6,1937.819,322.9698333333333
2012,1,292.4,292.4
2013,14,9055.679,646.8342142857143
2014,102,71902.671,704.9281470588236
2017,3,805.611,268.537
2022,2,1232.385,616.1925
2025,5,20681.0,4136.2
2027,490,14516.521,29.62555306122449
